passenger_id,first_name,last_name,age,gender,email,phone,aadhaar_id,date_of_birth,aadhaar_str,aadhaar_valid,email_valid,phone_valid,name_complete,quality_score,_row_order
P1905,Viva An,Pillai,84,M,vivaan.pillai2@rediffmail.com,+91-7236488723,807711306211,1942-04-14,807711306211,True,True,True,True,4,936
P1912,Di Ya,Kulkarni,57,F,diya.kulkarni@gmail.com,+91-9964845867,420768362536,1969-07-14,420768362536,True,True,True,True,4,943
P1912,Di Ya,Kulkarni,57,F,diya.kulkarni@rediffmail.com,+91-9576626352,675556283333,1969-10-07,675556283333,True,True,True,True,4,944
P1931,Arj Un,Verma,14,M,arjun.verma@hotmail.com,+91-8880770209,575757475833,2012-10-06,575757475833,True,True,True,True,4,963
P1931,Arj Un,Verma,14,M,arjun.verma@gmail.com,+91-8539946808,775677722660,2012-03-26,775677722660,True,True,True,True,4,964
P1944,Ri Ya,Gupta,10,M,riya.gupta1@gmail.com,+91-8447907555,990802711221,2016-09-06,990802711221,True,True,True,True,4,977
P1944,Riyagup Ta,,10,M,riyagupta.user@yahoo.com,+91-6910309537,555165176808,2016-07-21,555165176808,True,True,True,False,3,978
P1982,Aadh Ya,Das,30,F,aadhya.das2@yahoo.com,+91-7961403389,435885379821,1996-12-24,435885379821,True,True,True,True,4,1016
P1982,Aadh Ya,Das,30,F,aadhya.das@outlook.com,+91-7320905013,952753674978,1996-06-05,952753674978,True,True,True,True,4,1017
P1985,Aadh Ya,Nair,37,M,aadhya.nair@outlook.com,+91-6144060578,141884216309,1989-01-01,141884216309,True,True,True,True,4,1020
P1985,Aadhyana Ir,,37,M,aadhyanair.user@gmail.com,+91-8770401470,446333999485,1989-04-05,446333999485,True,True,True,False,3,1021
P1991,Aar Av,Sharma,4,F,aarav.sharma@rediffmail.com,+91-6837115354,931706955607,2022-07-24,931706955607,True,True,True,True,4,1027
P1991,Aar Av,Shhharma,4,F,aarav.shhharma@rediffmail.com,+91-9196057919,645345472239,2022-11-17,645345472239,True,True,True,True,4,1028
P1994,Di Ya,Kulkarni,89,F,diya.kulkarni1@hotmail.com,+91-7409498553,876230391114,1937-03-18,876230391114,True,True,True,True,4,1031
P1994,Diyakulkar Ni,,89,F,diyakulkarni.user@gmail.com,+91-9694250229,522823052480,1937-09-17,522823052480,True,True,True,False,3,1032
P1999,Anan Ya,Pillai,14,F,ananya.pillai2@yahoo.com,+91-9733969290,246320374767,2012-12-15,246320374767,True,True,True,True,4,1037
P1999,Ananyapill Ai,,14,F,ananyapillai.user@outlook.com,+91-7597463844,260321450576,2012-11-28,260321450576,True,True,True,False,3,1038
