booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,status_valid
B1283,P1860,AI103,2025-05-08 11:37:36.951,INVALID,R4897917,29D,Hritik Bal,+91-7360807808,False
B1286,P1753,6E010,2025-09-25 11:37:36.951,INVALID,L3069358,33B,Faqid Kibe,+91-8770153362,False
B1304,P1254,6E022,2025-12-13 11:37:36.951,INVALID,H4078516,18E,Ucchal Raghavan,+91-9145051700,False
B1312,P1707,AI015,2026-03-29 11:37:36.951,,Y2118824,6E,Rayaan Chada,+91-9247930241,False
B1337,P1028,6E246,2025-10-20 11:37:36.951,INVALID,B7173279,4C,Chakradev Bhagat,+91-8791396646,False
B1357,P1470,6E065,2026-02-05 11:37:36.951,,W8005378,14A,Aishani Bumb,+91-9753539923,False
B1360,P1444,AI105,2025-06-15 11:37:36.951,,E3220414,18D,Naksh Agate,+91-8803122317,False
B1388,P1885,6E038,2025-09-23 11:37:36.951,INVALID,F6874470,8D,Upma Pall,+91-7790218221,False
B1389,P1566,6E085,2026-02-22 11:37:36.951,,F0865237,30D,Nilima Nath,+91-7719876220,False
B1395,P1125,UK023,2026-02-10 11:37:36.951,INVALID,N2092973,23B,Gaurang Murty,+91-8760748777,False
B1396,P1407,AI039,2025-08-03 11:37:36.951,,M3322273,13E,Zayyan Naik,+91-7101529194,False
B1401,P1697,UK155,2025-04-20 11:37:36.951,,Z6484673,21D,Zarna Pathak,+91-8240686092,False
B1404,P1715,6E253,2026-03-07 11:37:36.951,INVALID,Y5350637,16A,Amara Deep,+91-6670771783,False
B1413,P1099,SJ038,2025-10-05 11:37:36.951,,W9760987,14A,Wishi Manne,+91-7557803192,False
B1421,P1989,UK058,2025-10-03 11:37:36.951,,P0450063,23C,Oeshi Oak,+91-7604937587,False
B1438,P1772,AI073,2026-04-01 11:37:36.951,,F3622033,20D,Harish Vora,+91-8296614578,False
B1441,P1895,SJ131,2025-09-22 11:37:36.951,INVALID,Z1774174,13A,Mohammed Borde,+91-8323165768,False
B1483,P1411,SJ119,2025-06-09 11:37:36.951,,G3761851,26B,Dayamai Sastry,+91-9588419169,False
B1499,P1687,AI033,2025-06-17 11:37:36.952,INVALID,W9008248,17C,Jatin Sha,+91-6926966364,False
B1508,P1677,AI023,2025-07-31 11:37:36.952,,E1559967,9C,Chakradev Barad,+91-9924760857,False
B1517,P1784,6E221,2026-01-16 11:37:36.952,INVALID,K9147744,31B,Ati Bali,+91-8785722215,False
B1518,P1758,SJ147,2026-03-20 11:37:36.952,INVALID,G5247841,30A,Kamala Kalla,+91-8723394061,False
B1525,P1245,AI254,2025-05-29 11:37:36.952,,K4671776,11E,Suhani Chand,+91-9732273227,False
B1529,P1651,6E066,2025-04-30 11:37:36.952,,V4424648,34C,Samesh Biswas,+91-9725818533,False
B1530,P1098,UK095,2025-12-08 11:37:36.952,INVALID,M7285759,23E,Sarthak Kalita,+91-7656534054,False
B1536,P1454,AI002,2025-06-01 11:37:36.952,,A0992177,4C,Imaran Bal,+91-8258706512,False
B1551,P1920,6E104,2025-11-14 11:37:36.952,INVALID,P2814447,8E,Varenya Ratti,+91-7735631188,False
B1576,P1650,SJ032,2025-10-20 11:37:36.952,,Z5513276,6F,Nirja Pandya,+91-9747120459,False
B1583,P1603,SJ072,2026-02-22 11:37:36.952,,Z2353484,33D,Inaya Pillai,+91-8582160940,False
B1593,P1719,6E087,2025-09-24 11:37:36.952,,V2942034,1A,Azaan Chand,+91-8318456311,False
B1602,P1173,6E042,2025-07-07 11:37:36.952,,C2838271,2A,Saanvi Samra,+91-7315289344,False
B1607,P1827,AI101,2026-02-02 11:37:36.952,INVALID,T6822512,30F,Qushi Choudhry,+91-7523313146,False
B1614,P1191,AI116,2025-05-11 11:37:36.952,,Y7388182,30B,Aadhya Mann,+91-6818000528,False
B1617,P1754,AI070,2025-05-10 11:37:36.952,INVALID,D0212543,18A,Qushi Gill,+91-7365358704,False
B1635,P1436,AI136,2025-08-14 11:37:36.952,INVALID,P9105302,7C,Timothy Nath,+91-6504861859,False
B1641,P1805,UK122,2026-03-27 11:37:36.952,,N0244654,28D,Harshil Dhingra,+91-9251769571,False
B1650,P1197,SJ105,2026-04-03 11:37:36.952,,M3405089,10D,Chavvi Maharaj,+91-7720311933,False
B1654,P1428,AI131,2025-08-14 11:37:36.952,,E7320222,31A,Siya Barad,+91-6917736787,False
B1673,P1084,AI147,2025-06-12 11:37:36.952,,H3243629,28B,Forum Chandra,+91-6971712711,False
B1680,P1926,AI253,2026-03-19 11:37:36.952,,A9617300,11F,Dayita Puri,+91-8438663589,False
B1711,P1037,6E167,2026-01-29 11:37:36.952,,B9378146,4C,Jeet Mane,+91-9795294431,False
B1743,P1386,6E137,2025-11-21 11:37:36.952,INVALID,K0553648,6F,Wridesh Saha,+91-9948012137,False
B1769,P1765,SJ111,2025-11-23 11:37:36.952,INVALID,C8580558,6F,Jeet Pillai,+91-6444629187,False
B1772,P1814,6E109,2025-08-29 11:37:36.952,,K1840398,10B,Harinakshi Grover,+91-6963580379,False
B1802,P1527,AI111,2025-06-30 11:37:36.952,INVALID,K6936561,16B,Atharv Grewal,+91-8866096611,False
B1813,P1152,AI104,2025-04-21 11:37:36.952,INVALID,N4332262,9D,Dhruv Mannan,+91-9601909254,False
B1849,P1545,SJ129,2025-06-24 11:37:36.952,INVALID,V3173066,12E,Widisha Mann,+91-7805666604,False
B1858,P1858,6E008,2025-11-25 11:37:36.952,,G8020761,10B,Dhriti Nagar,+91-9831496025,False
B1860,P1217,UK043,2025-08-01 11:37:36.952,,D8207066,3A,Kalpit Prabhakar,+91-6588210640,False
B1886,P1664,6E130,2026-02-12 11:37:36.952,INVALID,M1746564,9D,Chakradev Rattan,+91-6218158489,False
B1917,P1983,UK180,2025-08-03 11:37:36.952,INVALID,X7939981,27A,Imaran Halder,+91-8341166057,False
B1975,P1462,UK148,2025-08-26 11:37:36.952,,B3139280,20E,Chakrika Hans,+91-8108149630,False
B1982,P1083,6E162,2025-06-17 11:37:36.952,,H7019453,7A,Yuvraj Ahuja,+91-9635746975,False
B1983,P1270,UK101,2025-06-28 11:37:36.952,,P6650527,27A,Advika Rajagopal,+91-7128457066,False
B1989,P1790,6E002,2025-12-10 11:37:36.952,,H7539892,16F,Jagat Shroff,+91-6322456840,False
B1999,P1412,UK124,2025-08-08 11:37:36.952,INVALID,C2914650,12B,Tejas Kota,+91-7414292188,False
